kod	nazev	strom
46.49	Velkoobchod s ostatními výrobky převážně pro domácnost	G/46/46.4/46.49/
46.51	Velkoobchod s počítači, počítačovým periferním zařízením a softwarem	G/46/46.5/46.51/
46.52	Velkoobchod s elektronickým a telekomunikačním zařízením a jeho díly	G/46/46.5/46.52/
46.61	Velkoobchod se zemědělskými stroji, strojním zařízením a příslušenstvím	G/46/46.6/46.61/
46.62	Velkoobchod s obráběcími stroji	G/46/46.6/46.62/
46.63	Velkoobchod s těžebními a stavebními stroji a zařízením	G/46/46.6/46.63/
46.64	Velkoobchod se strojním zařízením pro textilní průmysl, šicími a pletacími stroji	G/46/46.6/46.64/
46.65	Velkoobchod s kancelářským nábytkem	G/46/46.6/46.65/
46.66	Velkoobchod s ostatními kancelářskými stroji a zařízením	G/46/46.6/46.66/
46.69	Velkoobchod s ostatními stroji a zařízením	G/46/46.6/46.69/
46.71.1	Velkoobchod s pevnými palivy a příbuznými výrobky	G/46/46.7/46.71.1/
46.71.2	Velkoobchod s kapalnými palivy a příbuznými výrobky	G/46/46.7/46.71.2/
46.71.3	Velkoobchod s plynnými palivy a příbuznými výrobky	G/46/46.7/46.71.3/
46.71	Velkoobchod s pevnými, kapalnými a plynnými palivy a příbuznými výrobky	G/46/46.7/46.71/
46.72	Velkoobchod s rudami, kovy a hutními výrobky	G/46/46.7/46.72/
46.73	Velkoobchod se dřevem, stavebními materiály a sanitárním vybavením	G/46/46.7/46.73/
46.74	Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami	G/46/46.7/46.74/
46.75	Velkoobchod s chemickými výrobky	G/46/46.7/46.75/
46.76.1	Velkoobchod s papírenskými meziprodukty	G/46/46.7/46.76.1/
46.76.9	Velkoobchod s ostatními meziprodukty j. n.	G/46/46.7/46.76.9/
46.76	Velkoobchod s ostatními meziprodukty	G/46/46.7/46.76/
46.77	Velkoobchod s odpadem a šrotem	G/46/46.7/46.77/
46.90	Nespecializovaný velkoobchod	G/46/46.9/46.90/
47.11	Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách	G/47/47.1/47.11/
47.19	Ostatní maloobchod v nespecializovaných prodejnách	G/47/47.1/47.19/
47.21	Maloobchod s ovocem a zeleninou	G/47/47.2/47.21/
47.22	Maloobchod s masem a masnými výrobky	G/47/47.2/47.22/
47.23	Maloobchod s rybami, korýši a měkkýši	G/47/47.2/47.23/
47.24	Maloobchod s chlebem, pečivem, cukrářskými výrobky a cukrovinkami	G/47/47.2/47.24/
47.25	Maloobchod s nápoji	G/47/47.2/47.25/
47.26	Maloobchod s tabákovými výrobky	G/47/47.2/47.26/
47.29	Ostatní maloobchod s potravinami ve specializovaných prodejnách	G/47/47.2/47.29/
47.30	Maloobchod s pohonnými hmotami ve specializovaných prodejnách	G/47/47.3/47.30/
47.41	Maloobchod s počítači, počítačovým periferním zařízením a softwarem	G/47/47.4/47.41/
47.42	Maloobchod s telekomunikačním zařízením	G/47/47.4/47.42/
47.43	Maloobchod s audio- a videozařízením	G/47/47.4/47.43/
47.51	Maloobchod s textilem	G/47/47.5/47.51/
47.52	Maloobchod s železářským zbožím, barvami, sklem a potřebami pro kutily	G/47/47.5/47.52/
47.53	Maloobchod s koberci, podlahovými krytinami a nástěnnými obklady	G/47/47.5/47.53/
47.54	Maloobchod s elektrospotřebiči a elektronikou	G/47/47.5/47.54/
47.59	Maloobchod s nábytkem, svítidly a ostatními výrobky převážně pro domácnost ve specializovaných prodejnách	G/47/47.5/47.59/
47.61	Maloobchod s knihami	G/47/47.6/47.61/
47.62	Maloobchod s novinami, časopisy a papírnickým zbožím	G/47/47.6/47.62/
47.63	Maloobchod s audio- a videozáznamy	G/47/47.6/47.63/
47.64	Maloobchod se sportovním vybavením	G/47/47.6/47.64/
47.65	Maloobchod s hrami a hračkami	G/47/47.6/47.65/
47.71	Maloobchod s oděvy	G/47/47.7/47.71/
47.72	Maloobchod s obuví a koženými výrobky	G/47/47.7/47.72/
47.73	Maloobchod s farmaceutickými přípravky	G/47/47.7/47.73/
47.74	Maloobchod se zdravotnickými a ortopedickými výrobky	G/47/47.7/47.74/
47.75	Maloobchod s kosmetickými a toaletními výrobky	G/47/47.7/47.75/
47.76	Maloobchod s květinami, rostlinami, osivy, hnojivy, zvířaty pro zájmový chov a krmivy pro ně	G/47/47.7/47.76/
47.77	Maloobchod s hodinami, hodinkami a klenoty	G/47/47.7/47.77/
47.78.1	Maloobchod s fotografickým a optickým zařízením a potřebami	G/47/47.7/47.78.1/
47.78.2	Maloobchod s pevnými palivy	G/47/47.7/47.78.2/
47.78.3	Maloobchod s kapalnými palivy (kromě pohonných hmot)	G/47/47.7/47.78.3/
47.78.4	Maloobchod s plynnými palivy (kromě pohonných hmot)	G/47/47.7/47.78.4/
47.78.9	Ostatní maloobchod s novým zbožím ve specializovaných prodejnách j. n.	G/47/47.7/47.78.9/
47.78	Ostatní maloobchod s novým zbožím ve specializovaných prodejnách	G/47/47.7/47.78/
47.79	Maloobchod s použitým zbožím v prodejnách	G/47/47.7/47.79/
47.81	Maloobchod s potravinami, nápoji a tabákovými výrobky ve stáncích a na trzích	G/47/47.8/47.81/
47.82	Maloobchod s textilem, oděvy a obuví ve stáncích a na trzích	G/47/47.8/47.82/
47.89	Maloobchod s ostatním zbožím ve stáncích a na trzích	G/47/47.8/47.89/
47.91.1	Maloobchod prostřednictvím internetu	G/47/47.9/47.91.1/
47.91.2	Maloobchod prostřednictvím zásilkové služby (jiný než prostřednictvím internetu)	G/47/47.9/47.91.2/
47.91	Maloobchod prostřednictvím internetu nebo zásilkové služby	G/47/47.9/47.91/
47.99	Ostatní maloobchod mimo prodejny, stánky a trhy	G/47/47.9/47.99/
49.10	Železniční osobní doprava meziměstská	H/49/49.1/49.10/
49.20	Železniční nákladní doprava	H/49/49.2/49.20/
49.31	Městská a příměstská pozemní osobní doprava	H/49/49.3/49.31/
49.32	Taxislužba a pronájem osobních vozů s řidičem	H/49/49.3/49.32/
49.39.1	Meziměstská pravidelná pozemní osobní doprava	H/49/49.3/49.39.1/
49.39.2	Osobní doprava lanovkou nebo vlekem	H/49/49.3/49.39.2/
49.39.3	Nepravidelná pozemní osobní doprava	H/49/49.3/49.39.3/
49.39.9	Jiná pozemní osobní doprava j. n.	H/49/49.3/49.39.9/
49.39	Ostatní pozemní osobní doprava j. n.	H/49/49.3/49.39/
49.41	Silniční nákladní doprava	H/49/49.4/49.41/
49.42	Stěhovací služby	H/49/49.4/49.42/
49.50.1	Potrubní doprava ropovodem	H/49/49.5/49.50.1/
49.50.2	Potrubní doprava plynovodem	H/49/49.5/49.50.2/
49.50.9	Potrubní doprava ostatní	H/49/49.5/49.50.9/
49.50	Potrubní doprava	H/49/49.5/49.50/
50.10	Námořní a pobřežní osobní doprava	H/50/50.1/50.10/
50.20	Námořní a pobřežní nákladní doprava	H/50/50.2/50.20/
50.30	Vnitrozemská vodní osobní doprava	H/50/50.3/50.30/
50.40	Vnitrozemská vodní nákladní doprava	H/50/50.4/50.40/
51.10.1	Vnitrostátní pravidelná letecká osobní doprava	H/51/51.1/51.10.1/
51.10.2	Vnitrostátní nepravidelná letecká osobní doprava	H/51/51.1/51.10.2/
51.10.3	Mezinárodní pravidelná letecká osobní doprava	H/51/51.1/51.10.3/
51.10.4	Mezinárodní nepravidelná letecká osobní doprava	H/51/51.1/51.10.4/
51.10.9	Ostatní letecká osobní doprava	H/51/51.1/51.10.9/
51.10	Letecká osobní doprava	H/51/51.1/51.10/
51.21	Letecká nákladní doprava	H/51/51.2/51.21/
51.22	Kosmická doprava	H/51/51.2/51.22/
52.10	Skladování	H/52/52.1/52.10/
52.21	Činnosti související s pozemní dopravou	H/52/52.2/52.21/
52.22	Činnosti související s vodní dopravou	H/52/52.2/52.22/
52.23	Činnosti související s leteckou dopravou	H/52/52.2/52.23/
52.24	Manipulace s nákladem	H/52/52.2/52.24/
52.29	Ostatní vedlejší činnosti v dopravě	H/52/52.2/52.29/
53.10	Základní poštovní služby poskytované na základě poštovní licence	H/53/53.1/53.10/
53.20	Ostatní poštovní a kurýrní činnosti	H/53/53.2/53.20/
55.10.1	Hotely	I/55/55.1/55.10.1/
55.10.2	Motely, botely	I/55/55.1/55.10.2/
55.10.9	Ostatní podobná ubytovací zařízení	I/55/55.1/55.10.9/
55.10	Ubytování v hotelích a podobných ubytovacích zařízeních	I/55/55.1/55.10/
55.20	Rekreační a ostatní krátkodobé ubytování	I/55/55.2/55.20/
55.30	Kempy a tábořiště	I/55/55.3/55.30/
55.90.1	Ubytování v zařízených pronájmech	I/55/55.9/55.90.1/
55.90.2	Ubytování ve vysokoškolských kolejích, domovech mládeže	I/55/55.9/55.90.2/
55.90.9	Ostatní ubytování j. n.	I/55/55.9/55.90.9/
55.90	Ostatní ubytování	I/55/55.9/55.90/
56.10	Stravování v restauracích, u stánků a v mobilních zařízeních	I/56/56.1/56.10/
56.21	Poskytování cateringových služeb	I/56/56.2/56.21/
56.29.1	Stravování v závodních kuchyních	I/56/56.2/56.29.1/
56.29.2	Stravování ve školních zařízeních, menzách	I/56/56.2/56.29.2/
56.29.9	Poskytování jiných stravovacích služeb j. n.	I/56/56.2/56.29.9/
56.29	Poskytování ostatních stravovacích služeb	I/56/56.2/56.29/
56.30	Pohostinství	I/56/56.3/56.30/
58.11	Vydávání knih	J/58/58.1/58.11/
58.12	Vydávání adresářů a jiných seznamů	J/58/58.1/58.12/
58.13	Vydávání novin	J/58/58.1/58.13/
58.14	Vydávání časopisů a ostatních periodických publikací	J/58/58.1/58.14/
58.19	Ostatní vydavatelské činnosti	J/58/58.1/58.19/
58.21	Vydávání počítačových her	J/58/58.2/58.21/
58.29	Ostatní vydávání softwaru	J/58/58.2/58.29/
59.11	Produkce filmů, videozáznamů a televizních programů	J/59/59.1/59.11/
59.12	Postprodukce filmů, videozáznamů a televizních programů	J/59/59.1/59.12/
59.13	Distribuce filmů, videozáznamů a televizních programů	J/59/59.1/59.13/
59.14	Promítání filmů	J/59/59.1/59.14/
59.20	Pořizování zvukových nahrávek a hudební vydavatelské činnosti	J/59/59.2/59.20/
60.10	Rozhlasové vysílání	J/60/60.1/60.10/
60.20	Tvorba televizních programů a televizní vysílání	J/60/60.2/60.20/
61.10.1	Poskytování hlasových služeb přes pevnou telekomunikační síť	J/61/61.1/61.10.1/
61.10.2	Pronájem pevné telekomunikační sítě	J/61/61.1/61.10.2/
61.10.3	Přenos dat přes pevnou telekomunikační síť	J/61/61.1/61.10.3/
61.10.4	Poskytování přístupu k internetu přes pevnou telekomunikační síť	J/61/61.1/61.10.4/
61.10.9	Ostatní činnosti související s pevnou telekomunikační sítí	J/61/61.1/61.10.9/
61.10	Činnosti související s pevnou telekomunikační sítí	J/61/61.1/61.10/
61.20.1	Poskytování hlasových služeb přes bezdrátovou telekomunikační síť	J/61/61.2/61.20.1/
61.20.2	Pronájem bezdrátové telekomunikační sítě	J/61/61.2/61.20.2/
61.20.3	Přenos dat přes bezdrátovou telekomunikační síť	J/61/61.2/61.20.3/
61.20.4	Poskytování přístupu k internetu přes bezdrátovou telekomunikační síť	J/61/61.2/61.20.4/
61.20.9	Ostatní činnosti související s bezdrátovou telekomunikační sítí	J/61/61.2/61.20.9/
61.20	Činnosti související s bezdrátovou telekomunikační sítí	J/61/61.2/61.20/
61.30	Činnosti související se satelitní telekomunikační sítí	J/61/61.3/61.30/
61.90	Ostatní telekomunikační činnosti	J/61/61.9/61.90/
62.01	Programování	J/62/62.0/62.01/
62.02	Poradenství v oblasti informačních technologií	J/62/62.0/62.02/
62.03	Správa počítačového vybavení	J/62/62.0/62.03/
62.09	Ostatní činnosti v oblasti informačních technologií	J/62/62.0/62.09/
63.11	Činnosti související se zpracováním dat a hostingem	J/63/63.1/63.11/
63.12	Činnosti související s webovými portály	J/63/63.1/63.12/
63.91	Činnosti zpravodajských tiskových kanceláří a agentur	J/63/63.9/63.91/
63.99	Ostatní informační činnosti j. n.	J/63/63.9/63.99/
64.11	Centrální bankovnictví	K/64/64.1/64.11/
64.19	Ostatní peněžní zprostředkování	K/64/64.1/64.19/
64.20	Činnosti holdingových společností	K/64/64.2/64.20/
64.30	Činnosti trustů, fondů a podobných finančních subjektů	K/64/64.3/64.30/
64.91	Finanční leasing	K/64/64.9/64.91/
64.92.1	Poskytování úvěrů společnostmi, které nepřijímají vklady	K/64/64.9/64.92.1/
64.92.2	Poskytování obchodních úvěrů	K/64/64.9/64.92.2/
64.92.3	Činnosti zastaváren	K/64/64.9/64.92.3/
64.92.9	Ostatní poskytování úvěrů j. n.	K/64/64.9/64.92.9/
64.92	Ostatní poskytování úvěrů	K/64/64.9/64.92/
64.99.1	Faktoringové činnosti	K/64/64.9/64.99.1/
64.99.2	Obchodování s cennými papíry na vlastní účet	K/64/64.9/64.99.2/
64.99.9	Jiné finanční zprostředkování j. n.	K/64/64.9/64.99.9/
64.99	Ostatní finanční zprostředkování j. n.	K/64/64.9/64.99/
65.11	Životní pojištění	K/65/65.1/65.11/
65.12	Neživotní pojištění	K/65/65.1/65.12/
65.20	Zajištění	K/65/65.2/65.20/
65.30	Penzijní financování	K/65/65.3/65.30/
66.11	Řízení a správa finančních trhů	K/66/66.1/66.11/
66.12	Obchodování s cennými papíry a komoditami na burzách	K/66/66.1/66.12/
66.19	Ostatní pomocné činnosti související s finančním zprostředkováním	K/66/66.1/66.19/
66.21	Vyhodnocování rizik a škod	K/66/66.2/66.21/
66.22	Činnosti zástupců pojišťovny a makléřů	K/66/66.2/66.22/
66.29	Ostatní pomocné činnosti související s pojišťovnictvím a penzijním financováním	K/66/66.2/66.29/
66.30	Správa fondů	K/66/66.3/66.30/
68.10	Nákup a následný prodej vlastních nemovitostí	L/68/68.1/68.10/
68.20.1	Pronájem vlastních nebo pronajatých nemovitostí s bytovými prostory	L/68/68.2/68.20.1/
68.20.2	Pronájem vlastních nebo pronajatých nemovitostí s nebytovými prostory	L/68/68.2/68.20.2/
68.20.3	Správa vlastních nebo pronajatých nemovitostí s bytovými prostory	L/68/68.2/68.20.3/
68.20.4	Správa vlastních nebo pronajatých nemovitostí s nebytovými prostory	L/68/68.2/68.20.4/
68.20	Pronájem a správa vlastních nebo pronajatých nemovitostí	L/68/68.2/68.20/
68.31	Zprostředkovatelské činnosti realitních agentur	L/68/68.3/68.31/
68.32	Správa nemovitostí na základě smlouvy	L/68/68.3/68.32/
69.10	Právní činnosti	M/69/69.1/69.10/
69.20	Účetnické a auditorské činnosti; daňové poradenství	M/69/69.2/69.20/
70.10	Činnosti vedení podniků	M/70/70.1/70.10/
70.21	Poradenství v oblasti vztahů s veřejností a komunikace	M/70/70.2/70.21/
70.22	Ostatní poradenství v oblasti podnikání a řízení	M/70/70.2/70.22/
71.11	Architektonické činnosti	M/71/71.1/71.11/
71.12.1	Geologický průzkum	M/71/71.1/71.12.1/
71.12.2	Zeměměřické a kartografické činnosti	M/71/71.1/71.12.2/
71.12.3	Hydrometeorologické a meteorologické činnosti	M/71/71.1/71.12.3/
71.12.9	Ostatní inženýrské činnosti a související technické poradenství j. n.	M/71/71.1/71.12.9/
71.12	Inženýrské činnosti a související technické poradenství	M/71/71.1/71.12/
71.20.1	Zkoušky a analýzy vyhrazených technických zařízení	M/71/71.2/71.20.1/
71.20.9	Ostatní technické zkoušky a analýzy	M/71/71.2/71.20.9/
71.20	Technické zkoušky a analýzy	M/71/71.2/71.20/
72.11	Výzkum a vývoj v oblasti biotechnologie	M/72/72.1/72.11/
72.19.1	Výzkum a vývoj v oblasti lékařských věd	M/72/72.1/72.19.1/
72.19.2	Výzkum a vývoj v oblasti technických věd	M/72/72.1/72.19.2/
72.19.9	Výzkum a vývoj v oblasti jiných přírodních věd	M/72/72.1/72.19.9/
72.19	Ostatní výzkum a vývoj v oblasti přírodních a technických věd	M/72/72.1/72.19/
72.20	Výzkum a vývoj v oblasti společenských a humanitních věd	M/72/72.2/72.20/
73.11	Činnosti reklamních agentur	M/73/73.1/73.11/
73.12	Zastupování médií při prodeji reklamního času a prostoru	M/73/73.1/73.12/
73.20	Průzkum trhu a veřejného mínění	M/73/73.2/73.20/
74.10	Specializované návrhářské činnosti	M/74/74.1/74.10/
74.20	Fotografické činnosti	M/74/74.2/74.20/
74.30	Překladatelské a tlumočnické činnosti	M/74/74.3/74.30/
74.90.1	Poradenství v oblasti bezpečnosti a ochrany zdraví při práci	M/74/74.9/74.90.1/
74.90.2	Poradenství v oblasti požární ochrany	M/74/74.9/74.90.2/
74.90.9	Jiné profesní, vědecké a technické činnosti j. n.	M/74/74.9/74.90.9/
74.90	Ostatní profesní, vědecké a technické činnosti j. n.	M/74/74.9/74.90/
75.00	Veterinární činnosti	M/75/75.0/75.00/
77.11	Pronájem a leasing automobilů a jiných lehkých motorových vozidel, kromě motocyklů	N/77/77.1/77.11/
77.12	Pronájem a leasing nákladních automobilů	N/77/77.1/77.12/
77.21	Pronájem a leasing rekreačních a sportovních potřeb	N/77/77.2/77.21/
77.22	Pronájem videokazet a disků	N/77/77.2/77.22/
77.29	Pronájem a leasing ostatních výrobků pro osobní potřebu a převážně pro domácnost	N/77/77.2/77.29/
77.31	Pronájem a leasing zemědělských strojů a zařízení	N/77/77.3/77.31/
77.32	Pronájem a leasing stavebních strojů a zařízení	N/77/77.3/77.32/
77.33	Pronájem a leasing kancelářských strojů a zařízení, včetně počítačů	N/77/77.3/77.33/
77.34	Pronájem a leasing vodních dopravních prostředků	N/77/77.3/77.34/
77.35	Pronájem a leasing leteckých dopravních prostředků	N/77/77.3/77.35/
77.39	Pronájem a leasing ostatních strojů, zařízení a výrobků j. n.	N/77/77.3/77.39/
77.40	Leasing duševního vlastnictví a podobných produktů, kromě děl chráněných autorským právem	N/77/77.4/77.40/
78.10	Činnosti agentur zprostředkujících zaměstnání	N/78/78.1/78.10/
78.20	Činnosti agentur zprostředkujících práci na přechodnou dobu	N/78/78.2/78.20/
78.30	Ostatní poskytování lidských zdrojů	N/78/78.3/78.30/
79.11	Činnosti cestovních agentur	N/79/79.1/79.11/
79.12	Činnosti cestovních kanceláří	N/79/79.1/79.12/
79.90.1	Průvodcovské činnosti	N/79/79.9/79.90.1/
79.90.9	Ostatní rezervační a související činnosti j. n.	N/79/79.9/79.90.9/
79.90	Ostatní rezervační a související činnosti	N/79/79.9/79.90/
80.10	Činnosti soukromých bezpečnostních agentur	N/80/80.1/80.10/
80.20	Činnosti související s provozem bezpečnostních systémů	N/80/80.2/80.20/
80.30	Pátrací činnosti	N/80/80.3/80.30/
81.10	Kombinované pomocné činnosti	N/81/81.1/81.10/
81.21	Všeobecný úklid budov	N/81/81.2/81.21/
81.22	Specializované čištění a úklid budov a průmyslových zařízení	N/81/81.2/81.22/
81.29	Ostatní úklidové činnosti	N/81/81.2/81.29/
81.30	Činnosti související s úpravou krajiny	N/81/81.3/81.30/
82.11	Univerzální administrativní činnosti	N/82/82.1/82.11/
82.19	Kopírování, příprava dokumentů a ostatní specializované kancelářské podpůrné činnosti	N/82/82.1/82.19/
82.20	Činnosti zprostředkovatelských středisek po telefonu	N/82/82.2/82.20/
82.30	Pořádání konferencí a hospodářských výstav	N/82/82.3/82.30/
82.91	Inkasní činnosti, ověřování solventnosti zákazníka	N/82/82.9/82.91/
82.92	Balicí činnosti	N/82/82.9/82.92/
82.99	Ostatní podpůrné činnosti pro podnikání j. n.	N/82/82.9/82.99/
84.11	Všeobecné činnosti veřejné správy	O/84/84.1/84.11/
84.12	Regulace činností souvisejících s poskytováním zdravotní péče, vzděláváním, kulturou a sociální péčí, kromě sociálního zabezpečení	O/84/84.1/84.12/
84.13	Regulace a podpora podnikatelského prostředí	O/84/84.1/84.13/
84.21.1	Pomoc cizím zemím při katastrofách nebo v nouzových situacích přímo nebo prostřednictvím mezinárodních organizací	O/84/84.2/84.21.1/
84.21.2	Rozvíjení vzájemného přátelství a porozumění mezi národy	O/84/84.2/84.21.2/
84.21.9	Ostatní činnosti v oblasti zahraničních věcí	O/84/84.2/84.21.9/
84.21	Činnosti v oblasti zahraničních věcí	O/84/84.2/84.21/
84.22	Činnosti v oblasti obrany	O/84/84.2/84.22/
84.23	Činnosti v oblasti spravedlnosti a soudnictví	O/84/84.2/84.23/
84.24	Činnosti v oblasti veřejného pořádku a bezpečnosti	O/84/84.2/84.24/
84.25	Činnosti v oblasti protipožární ochrany	O/84/84.2/84.25/
84.30	Činnosti v oblasti povinného sociálního zabezpečení	O/84/84.3/84.30/
85.10	Předškolní vzdělávání	P/85/85.1/85.10/
85.20	Primární vzdělávání	P/85/85.2/85.20/
85.31.1	Základní vzdělávání na druhém stupni základních škol	P/85/85.3/85.31.1/
85.31.2	Střední všeobecné vzdělávání	P/85/85.3/85.31.2/
85.31	Sekundární všeobecné vzdělávání	P/85/85.3/85.31/
85.32.1	Střední odborné vzdělávání na učilištích	P/85/85.3/85.32.1/
85.32.2	Střední odborné vzdělávání na středních odborných školách	P/85/85.3/85.32.2/
85.32	Sekundární odborné vzdělávání	P/85/85.3/85.32/
85.41	Postsekundární nikoli terciární vzdělávání	P/85/85.4/85.41/
85.42	Terciární vzdělávání	P/85/85.4/85.42/
85.51	Sportovní a rekreační vzdělávání	P/85/85.5/85.51/
85.52	Umělecké vzdělávání	P/85/85.5/85.52/
85.53.1	Činnosti autoškol	P/85/85.5/85.53.1/
85.53.2	Činnosti leteckých škol	P/85/85.5/85.53.2/
85.53.9	Činnosti ostatních škol řízení	P/85/85.5/85.53.9/
85.53	Činnosti autoškol a jiných škol řízení	P/85/85.5/85.53/
85.59.1	Vzdělávání v jazykových školách	P/85/85.5/85.59.1/
85.59.2	Environmentální vzdělávání	P/85/85.5/85.59.2/
85.59.3	Inovační vzdělávání	P/85/85.5/85.59.3/
85.59.9	Jiné vzdělávání j. n.	P/85/85.5/85.59.9/
85.59	Ostatní vzdělávání j. n.	P/85/85.5/85.59/
85.60	Podpůrné činnosti ve vzdělávání	P/85/85.6/85.60/
86.10	Ústavní zdravotní péče	Q/86/86.1/86.10/
86.21	Všeobecná ambulantní zdravotní péče	Q/86/86.2/86.21/
86.22	Specializovaná ambulantní zdravotní péče	Q/86/86.2/86.22/
86.23	Zubní péče	Q/86/86.2/86.23/
86.90.1	Činnosti související s ochranou veřejného zdraví	Q/86/86.9/86.90.1/
86.90.9	Ostatní činnosti související se zdravotní péčí j. n.	Q/86/86.9/86.90.9/
86.90	Ostatní činnosti související se zdravotní péčí	Q/86/86.9/86.90/
87.10	Sociální péče ve zdravotnických zařízeních ústavní péče	Q/87/87.1/87.10/
87.20.1	Sociální péče v zařízeních pro osoby s chronickým duševním onemocněním	Q/87/87.2/87.20.1/
87.20.2	Sociální péče v zařízeních pro osoby závislé na návykových látkách	Q/87/87.2/87.20.2/
87.20	Sociální péče v zařízeních pro osoby s chronickým duševním onemocněním a osoby závislé na návykových látkách	Q/87/87.2/87.20/
87.30.1	Sociální péče v domovech pro seniory	Q/87/87.3/87.30.1/
87.30.2	Sociální péče v domovech pro osoby se zdravotním postižením	Q/87/87.3/87.30.2/
87.30	Sociální péče v domovech pro seniory a osoby se zdravotním postižením	Q/87/87.3/87.30/
87.90	Ostatní pobytové služby sociální péče	Q/87/87.9/87.90/
88.10.1	Ambulantní nebo terénní sociální služby pro seniory	Q/88/88.1/88.10.1/
88.10.2	Ambulantní nebo terénní sociální služby pro osoby se zdravotním postižením	Q/88/88.1/88.10.2/
88.10	Ambulantní nebo terénní sociální služby pro seniory a osoby se zdravotním postižením	Q/88/88.1/88.10/
88.91	Sociální služby poskytované dětem	Q/88/88.9/88.91/
88.99.1	Sociální služby pro uprchlíky, oběti katastrof	Q/88/88.9/88.99.1/
88.99.2	Sociální prevence	Q/88/88.9/88.99.2/
88.99.3	Sociální rehabilitace	Q/88/88.9/88.99.3/
88.99.9	Jiné ambulantní nebo terénní sociální služby j. n.	Q/88/88.9/88.99.9/
88.99	Ostatní ambulantní nebo terénní sociální služby j. n.	Q/88/88.9/88.99/
90.01	Scénická umění	R/90/90.0/90.01/
90.02	Podpůrné činnosti pro scénická umění	R/90/90.0/90.02/
90.03	Umělecká tvorba	R/90/90.0/90.03/
90.04	Provozování kulturních zařízení	R/90/90.0/90.04/
91.01	Činnosti knihoven a archivů	R/91/91.0/91.01/
91.02	Činnosti muzeí	R/91/91.0/91.02/
91.03	Provozování kulturních památek, historických staveb a obdobných turistických zajímavostí	R/91/91.0/91.03/
91.04.1	Činnosti botanických a zoologických zahrad	R/91/91.0/91.04.1/
91.04.2	Činnosti přírodních rezervací a národních parků	R/91/91.0/91.04.2/
91.04	Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků	R/91/91.0/91.04/
92.00	Činnosti heren, kasin a sázkových kanceláří	R/92/92.0/92.00/
93.11	Provozování sportovních zařízení	R/93/93.1/93.11/
93.12	Činnosti sportovních klubů	R/93/93.1/93.12/
93.13	Činnosti fitcenter	R/93/93.1/93.13/
93.19	Ostatní sportovní činnosti	R/93/93.1/93.19/
93.21	Činnosti lunaparků a zábavních parků	R/93/93.2/93.21/
93.29	Ostatní zábavní a rekreační činnosti j. n.	R/93/93.2/93.29/
94.11	Činnosti podnikatelských a zaměstnavatelských organizací	S/94/94.1/94.11/
94.12	Činnosti profesních organizací	S/94/94.1/94.12/
94.20	Činnosti odborových svazů	S/94/94.2/94.20/
94.91	Činnosti náboženských organizací	S/94/94.9/94.91/
94.92	Činnosti politických stran a organizací	S/94/94.9/94.92/
94.99.1	Činnosti organizací dětí a mládeže	S/94/94.9/94.99.1/
94.99.2	Činnosti organizací na podporu kulturní činnosti	S/94/94.9/94.99.2/
94.99.3	Činnosti organizací na podporu rekreační a zájmové činnosti	S/94/94.9/94.99.3/
94.99.4	Činnosti spotřebitelských organizací	S/94/94.9/94.99.4/
94.99.5	Činnosti environmentálních a ekologických hnutí	S/94/94.9/94.99.5/
94.99.6	Činnosti organizací na ochranu a zlepšení postavení etnických, menšinových a jiných speciálních skupin	S/94/94.9/94.99.6/
94.99.7	Činnosti občanských iniciativ, protestních hnutí	S/94/94.9/94.99.7/
94.99.9	Činnosti ostatních organizací j. n.	S/94/94.9/94.99.9/
94.99	Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.	S/94/94.9/94.99/
95.11	Opravy počítačů a periferních zařízení	S/95/95.1/95.11/
95.12	Opravy komunikačních zařízení	S/95/95.1/95.12/
95.21	Opravy spotřební elektroniky	S/95/95.2/95.21/
95.22	Opravy přístrojů a zařízení převážně pro domácnost, dům a zahradu	S/95/95.2/95.22/
95.23	Opravy obuvi a kožených výrobků	S/95/95.2/95.23/
95.24	Opravy nábytku a bytového zařízení	S/95/95.2/95.24/
95.25	Opravy hodin, hodinek a klenotnických výrobků	S/95/95.2/95.25/
95.29	Opravy ostatních výrobků pro osobní potřebu a převážně pro domácnost	S/95/95.2/95.29/
96.01	Praní a chemické čištění textilních a kožešinových výrobků	S/96/96.0/96.01/
96.02	Kadeřnické, kosmetické a podobné činnosti	S/96/96.0/96.02/
96.03	Pohřební a související činnosti	S/96/96.0/96.03/
96.04	Činnosti pro osobní a fyzickou pohodu	S/96/96.0/96.04/
96.09	Poskytování ostatních osobních služeb j. n.	S/96/96.0/96.09/
97.00	Činnosti domácností jako zaměstnavatelů domácího personálu	T/97/97.0/97.00/
98.10	Činnosti domácností produkujících blíže neurčené výrobky pro vlastní potřebu	T/98/98.1/98.10/
98.20	Činnosti domácností poskytujících blíže neurčené služby pro vlastní potřebu	T/98/98.2/98.20/
99.00	Činnosti exteritoriálních organizací a orgánů	U/99/99.0/99.00/
