kod	nazev	strom
T	SEKCE T - ČINNOSTI DOMÁCNOSTÍ JAKO ZAMĚSTNAVATELŮ; ČINNOSTI DOMÁCNOSTÍ PRODUKUJÍCÍCH BLÍŽE NEURČENÉ VÝROBKY A SLUŽBY PRO VLASTNÍ POTŘEBU	T/
U	SEKCE U - ČINNOSTI EXTERITORIÁLNÍCH ORGANIZACÍ A ORGÁNŮ	U/
01	Rostlinná a živočišná výroba, myslivost a související činnosti	A/01/
02	Lesnictví a těžba dřeva	A/02/
03	Rybolov a akvakultura	A/03/
05	Těžba a úprava černého a hnědého uhlí	B/05/
06	Těžba ropy a zemního plynu	B/06/
07	Těžba a úprava rud	B/07/
08	Ostatní těžba a dobývání	B/08/
09	Podpůrné činnosti při těžbě	B/09/
10	Výroba potravinářských výrobků	C/10/
11	Výroba nápojů	C/11/
12	Výroba tabákových výrobků	C/12/
13	Výroba textilií	C/13/
14	Výroba oděvů	C/14/
15	Výroba usní a souvisejících výrobků	C/15/
16	Zpracování dřeva, výroba dřevěných, korkových, proutěných a slaměných výrobků, kromě nábytku	C/16/
17	Výroba papíru a výrobků z papíru	C/17/
18	Tisk a rozmnožování nahraných nosičů	C/18/
19	Výroba koksu a rafinovaných ropných produktů	C/19/
20	Výroba chemických látek a chemických přípravků	C/20/
21	Výroba základních farmaceutických výrobků a farmaceutických přípravků	C/21/
22	Výroba pryžových a plastových výrobků	C/22/
23	Výroba ostatních nekovových minerálních výrobků	C/23/
24	Výroba základních kovů, hutní zpracování kovů; slévárenství	C/24/
25	Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení	C/25/
26	Výroba počítačů, elektronických a optických přístrojů a zařízení	C/26/
27	Výroba elektrických zařízení	C/27/
28	Výroba strojů a zařízení j. n.	C/28/
29	Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů	C/29/
30	Výroba ostatních dopravních prostředků a zařízení	C/30/
31	Výroba nábytku	C/31/
32	Ostatní zpracovatelský průmysl	C/32/
33	Opravy a instalace strojů a zařízení	C/33/
35	Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu	D/35/
36	Shromažďování, úprava a rozvod vody	E/36/
37	Činnosti související s odpadními vodami	E/37/
38	Shromažďování, sběr a odstraňování odpadů, úprava odpadů k dalšímu využití	E/38/
39	Sanace a jiné činnosti související s odpady	E/39/
41	Výstavba budov	F/41/
42	Inženýrské stavitelství	F/42/
43	Specializované stavební činnosti	F/43/
45	Velkoobchod, maloobchod a opravy motorových vozidel	G/45/
46	Velkoobchod, kromě motorových vozidel	G/46/
47	Maloobchod, kromě motorových vozidel	G/47/
49	Pozemní a potrubní doprava	H/49/
50	Vodní doprava	H/50/
51	Letecká doprava	H/51/
52	Skladování a vedlejší činnosti v dopravě	H/52/
53	Poštovní a kurýrní činnosti	H/53/
55	Ubytování	I/55/
56	Stravování a pohostinství	I/56/
58	Vydavatelské činnosti	J/58/
59	Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti	J/59/
60	Tvorba programů a vysílání	J/60/
61	Telekomunikační činnosti	J/61/
62.0	Činnosti v oblasti informačních technologií	J/62/62.0/
63.1	Činnosti související se zpracováním dat a hostingem; činnosti související s webovými portály	J/63/63.1/
63.9	Ostatní informační činnosti	J/63/63.9/
64.1	Peněžní zprostředkování	K/64/64.1/
64.2	Činnosti holdingových společností	K/64/64.2/
64.3	Činnosti trustů, fondů a podobných finančních subjektů	K/64/64.3/
64.9	Ostatní finanční zprostředkování	K/64/64.9/
65.1	Pojištění	K/65/65.1/
65.2	Zajištění	K/65/65.2/
65.3	Penzijní financování	K/65/65.3/
66.1	Pomocné činnosti související s finančním zprostředkováním, kromě pojišťovnictví a penzijního financování	K/66/66.1/
66.2	Pomocné činnosti související s pojišťovnictvím a penzijním financováním	K/66/66.2/
66.3	Správa fondů	K/66/66.3/
68.1	Nákup a následný prodej vlastních nemovitostí	L/68/68.1/
68.2	Pronájem a správa vlastních nebo pronajatých nemovitostí	L/68/68.2/
68.3	Činnosti v oblasti nemovitostí na základě smlouvy nebo dohody	L/68/68.3/
69.1	Právní činnosti	M/69/69.1/
69.2	Účetnické a auditorské činnosti; daňové poradenství	M/69/69.2/
70.1	Činnosti vedení podniků	M/70/70.1/
70.2	Poradenství v oblasti řízení	M/70/70.2/
71.1	Architektonické a inženýrské činnosti a související technické poradenství	M/71/71.1/
71.2	Technické zkoušky a analýzy	M/71/71.2/
72.1	Výzkum a vývoj v oblasti přírodních a technických věd	M/72/72.1/
72.2	Výzkum a vývoj v oblasti společenských a humanitních věd	M/72/72.2/
73.1	Reklamní činnosti	M/73/73.1/
73.2	Průzkum trhu a veřejného mínění	M/73/73.2/
74.1	Specializované návrhářské činnosti	M/74/74.1/
74.2	Fotografické činnosti	M/74/74.2/
74.3	Překladatelské a tlumočnické činnosti	M/74/74.3/
74.9	Ostatní profesní, vědecké a technické činnosti j. n.	M/74/74.9/
75.0	Veterinární činnosti	M/75/75.0/
77.1	Pronájem a leasing motorových vozidel, kromě motocyklů	N/77/77.1/
77.2	Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	N/77/77.2/
77.3	Pronájem a leasing ostatních strojů, zařízení a výrobků	N/77/77.3/
77.4	Leasing duševního vlastnictví a podobných produktů, kromě děl chráněných autorským právem	N/77/77.4/
78.1	Činnosti agentur zprostředkujících zaměstnání	N/78/78.1/
78.2	Činnosti agentur zprostředkujících práci na přechodnou dobu	N/78/78.2/
78.3	Ostatní poskytování lidských zdrojů	N/78/78.3/
79.1	Činnosti cestovních agentur a cestovních kanceláří	N/79/79.1/
79.9	Ostatní rezervační a související činnosti	N/79/79.9/
80.1	Činnosti soukromých bezpečnostních agentur	N/80/80.1/
80.2	Činnosti související s provozem bezpečnostních systémů	N/80/80.2/
80.3	Pátrací činnosti	N/80/80.3/
81.1	Kombinované pomocné činnosti	N/81/81.1/
81.2	Úklidové činnosti	N/81/81.2/
81.3	Činnosti související s úpravou krajiny	N/81/81.3/
82.1	Administrativní a kancelářské činnosti	N/82/82.1/
82.2	Činnosti zprostředkovatelských středisek po telefonu	N/82/82.2/
82.3	Pořádání konferencí a hospodářských výstav	N/82/82.3/
82.9	Podpůrné činnosti pro podnikání j. n.	N/82/82.9/
84.1	Veřejná správa a hospodářská a sociální politika	O/84/84.1/
84.2	Činnosti pro společnost jako celek	O/84/84.2/
84.3	Činnosti v oblasti povinného sociálního zabezpečení	O/84/84.3/
85.1	Předškolní vzdělávání	P/85/85.1/
85.2	Primární vzdělávání	P/85/85.2/
85.3	Sekundární vzdělávání	P/85/85.3/
85.4	Postsekundární vzdělávání	P/85/85.4/
85.5	Ostatní vzdělávání	P/85/85.5/
85.6	Podpůrné činnosti ve vzdělávání	P/85/85.6/
86.1	Ústavní zdravotní péče	Q/86/86.1/
86.2	Ambulantní a zubní zdravotní péče	Q/86/86.2/
86.9	Ostatní činnosti související se zdravotní péčí	Q/86/86.9/
87.1	Sociální péče ve zdravotnických zařízeních ústavní péče	Q/87/87.1/
