kód	název	strom
633	Farmáři samozásobitelé ve smíšeném hospodářství	6/63/633/
634	Rybáři, lovci a sběrači samozásobitelé	6/63/634/
711	Řemeslníci a kvalifikovaní pracovníci hlavní stavební výroby	7/71/711/
712	Řemeslníci a kvalifikovaní pracovníci při dokončování staveb	7/71/712/
713	Malíři a příbuzní pracovníci, pracovníci povrchového čištění budov	7/71/713/
721	Slévači, svářeči a příbuzní pracovníci	7/72/721/
722	Kováři, nástrojaři a příbuzní pracovníci	7/72/722/
723	Mechanici a opraváři strojů a zařízení (kromě elektrických)	7/72/723/
731	Pracovníci v oblasti uměleckých a tradičních řemesel	7/73/731/
732	Pracovníci polygrafie	7/73/732/
741	Montéři, mechanici a opraváři elektrických zařízení	7/74/741/
742	Mechanici a opraváři elektronických přístrojů a komunikačních technologií	7/74/742/
751	Výrobci a zpracovatelé potravin a příbuzní pracovníci	7/75/751/
752	Zpracovatelé dřeva, truhláři (kromě stavebních) a příbuzní pracovníci	7/75/752/
753	Výrobci oděvů, výrobků z kůží a kožešin a pracovníci v příbuzných oborech	7/75/753/
754	Ostatní řemeslní pracovníci a pracovníci v dalších oborech	7/75/754/
811	Obsluha zařízení na těžbu a zpracování nerostných surovin	8/81/811/
812	Obsluha zařízení na zpracování a povrchovou úpravu kovů a jiných materiálů	8/81/812/
813	Obsluha strojů a zařízení pro chemickou výrobu a na výrobu fotografických materiálů	8/81/813/
814	Obsluha strojů na výrobu a zpracování výrobků z pryže, plastu a papíru	8/81/814/
815	Obsluha strojů na výrobu a úpravu textilních, kožených a kožešinových výrobků	8/81/815/
816	Obsluha strojů na výrobu potravin a příbuzných výrobků	8/81/816/
817	Obsluha strojů a zařízení na zpracování dřeva a výrobu papíru	8/81/817/
818	Ostatní obsluha stacionárních strojů a zařízení	8/81/818/
821	Montážní dělníci výrobků a zařízení	8/82/821/
831	Strojvedoucí a pracovníci zabezpečující sestavování a jízdu vlaků	8/83/831/
832	Řidiči motocyklů a automobilů (kromě nákladních)	8/83/832/
833	Řidiči nákladních automobilů, autobusů a tramvají	8/83/833/
834	Obsluha pojízdných zařízení	8/83/834/
835	Pracovníci lodní posádky	8/83/835/
911	Uklízeči a pomocníci v domácnostech, hotelích, administrativních, průmyslových a jiných objektech	9/91/911/
912	Pracovníci pro ruční mytí vozidel, oken, praní prádla a příbuzní pracovníci	9/91/912/
921	Pomocní pracovníci v zemědělství, lesnictví a rybářství	9/92/921/
