kód	název	strom
21330	Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie)	2/21/213/2133/21330
21412	Specialisté v oblasti kvality a certifikace systémů řízení (ISO)	2/21/214/2141/21412
21413	Specialisté v oblasti logistiky	2/21/214/2141/21413
21414	Specialisté v oblasti dopravy	2/21/214/2141/21414
21415	Specialisté v oblasti krizového řízení	2/21/214/2141/21415
21416	Specialisté v oblasti bezpečnostních systémů a ochrany údajů (kromě zabezpečení IT)	2/21/214/2141/21416
21419	Ostatní specialisté v oblasti průmyslového inženýrství a v příbuzných oblastech	2/21/214/2141/21419
21411	Specialisté analytici rozborů, studií, racionalizace výroby	2/21/214/2141/21411
21423	Inženýři projektanti inženýrských děl	2/21/214/2142/21423
21429	Ostatní stavební inženýři	2/21/214/2142/21429
21428	Stavební inženýři výstavby inženýrských děl	2/21/214/2142/21428
21427	Stavební inženýři výstavby budov	2/21/214/2142/21427
21426	Stavební inženýři kontroly a řízení kvality	2/21/214/2142/21426
21424	Stavební inženýři technologové, normovači	2/21/214/2142/21424
21422	Inženýři projektanti budov	2/21/214/2142/21422
21421	Stavební inženýři ve výzkumu a vývoji	2/21/214/2142/21421
21425	Stavební inženýři přípravy a realizace investic	2/21/214/2142/21425
21430	Specialisté v oblasti průmyslové ekologie	2/21/214/2143/21430
21445	Strojní inženýři kontroly a řízení kvality	2/21/214/2144/21445
21444	Strojní inženýři přípravy a realizace investic, inženýringu	2/21/214/2144/21444
21449	Ostatní strojní inženýři	2/21/214/2144/21449
21441	Strojní inženýři ve výzkumu a vývoji	2/21/214/2144/21441
21443	Strojní inženýři technologové, normovači	2/21/214/2144/21443
21442	Strojní inženýři projektanti, konstruktéři	2/21/214/2144/21442
21446	Strojní inženýři přístrojů, strojů a zařízení	2/21/214/2144/21446
21451	Chemičtí inženýři ve výzkumu a vývoji a specialisté v příbuzných oborech	2/21/214/2145/21451
21452	Chemičtí inženýři projektanti, konstruktéři a specialisté v příbuzných oborech	2/21/214/2145/21452
21453	Chemičtí inženýři technologové, normovači a specialisté v příbuzných oborech	2/21/214/2145/21453
21454	Chemičtí inženýři přípravy a realizace investic, inženýringu a specialisté v příbuzných oborech	2/21/214/2145/21454
21455	Chemičtí inženýři kontroly a řízení kvality, chemičtí inženýři laboranti a specialisté v příbuzných oborech	2/21/214/2145/21455
21456	Chemičtí inženýři přístrojů, strojů a zařízení a specialisté v příbuzných oborech	2/21/214/2145/21456
21459	Ostatní chemičtí inženýři a specialisté v příbuzných oborech	2/21/214/2145/21459
21461	Důlní a hutní inženýři ve výzkumu a vývoji a specialisté v příbuzných oborech	2/21/214/2146/21461
21469	Ostatní důlní a hutní inženýři a specialisté v příbuzných oborech	2/21/214/2146/21469
21466	Důlní a hutní inženýři přístrojů, strojů a zařízení a specialisté v příbuzných oborech	2/21/214/2146/21466
21465	Důlní a hutní inženýři kontroly a řízení kvality a specialisté v příbuzných oborech	2/21/214/2146/21465
21464	Důlní a hutní inženýři přípravy a realizace investic, inženýringu a specialisté v příbuzných oborech	2/21/214/2146/21464
21462	Důlní a hutní inženýři projektanti, konstruktéři a specialisté v příbuzných oborech	2/21/214/2146/21462
21463	Důlní a hutní inženýři technologové, normovači a specialisté v příbuzných oborech	2/21/214/2146/21463
21495	Inženýři kontroly a řízení kvality v ostatních oborech	2/21/214/2149/21495
21496	Inženýři přístrojů, strojů a zařízení v ostatních oborech	2/21/214/2149/21496
21499	Ostatní specialisté v oblasti techniky	2/21/214/2149/21499
21498	Biomedicínští inženýři	2/21/214/2149/21498
21491	Inženýři ve výzkumu a vývoji v ostatních oborech	2/21/214/2149/21491
21494	Inženýři přípravy a realizace investic, inženýringu v ostatních oborech	2/21/214/2149/21494
21493	Inženýři technologové, normovači v ostatních oborech	2/21/214/2149/21493
21497	Inženýři bezpečnosti práce a ochrany zdraví	2/21/214/2149/21497
21492	Inženýři projektanti, konstruktéři v ostatních oborech	2/21/214/2149/21492
21518	Inženýři energetici distribuce energie	2/21/215/2151/21518
21519	Ostatní inženýři elektrotechnici a energetici	2/21/215/2151/21519
21517	Inženýři energetici výroby energie	2/21/215/2151/21517
21516	Inženýři elektrotechnici a energetici přístrojů, strojů a zařízení	2/21/215/2151/21516
21515	Inženýři elektrotechnici a energetici kontroly a řízení kvality	2/21/215/2151/21515
21514	Inženýři elektrotechnici a energetici přípravy a realizace investic, inženýringu	2/21/215/2151/21514
21513	Inženýři elektrotechnici a energetici technologové, normovači	2/21/215/2151/21513
21512	Inženýři elektrotechnici a energetici projektanti, konstruktéři	2/21/215/2151/21512
21511	Inženýři elektrotechnici a energetici ve výzkumu a vývoji	2/21/215/2151/21511
21522	Inženýři elektronici projektanti, konstruktéři	2/21/215/2152/21522
21523	Inženýři elektronici technologové, normovači	2/21/215/2152/21523
21524	Inženýři elektronici přípravy a realizace investic, inženýringu	2/21/215/2152/21524
21525	Inženýři elektronici kontroly a řízení kvality	2/21/215/2152/21525
21526	Inženýři elektronici přístrojů, strojů a zařízení	2/21/215/2152/21526
21529	Ostatní inženýři elektronici	2/21/215/2152/21529
21521	Inženýři elektronici ve výzkumu a vývoji	2/21/215/2152/21521
21531	Inženýři ve výzkumu a vývoji v oblasti elektronických komunikací	2/21/215/2153/21531
21536	Inženýři přístrojů, strojů a zařízení v oblasti elektronických komunikací	2/21/215/2153/21536
21539	Ostatní inženýři v oblasti elektronických komunikací (včetně radiokomunikací)	2/21/215/2153/21539
21534	Inženýři přípravy a realizace investic, inženýringu v oblasti elektronických komunikací	2/21/215/2153/21534
21532	Inženýři projektanti, konstruktéři v oblasti elektronických komunikací	2/21/215/2153/21532
21535	Inženýři kontroly a řízení kvality v oblasti elektronických komunikací	2/21/215/2153/21535
21533	Inženýři technologové, normovači v oblasti elektronických komunikací	2/21/215/2153/21533
21660	Grafici a výtvarníci v multimédiích	2/21/216/2166/21660
21650	Kartografové a zeměměřiči	2/21/216/2165/21650
21610	Stavební architekti	2/21/216/2161/21610
21631	Průmysloví a produktoví designéři	2/21/216/2163/21631
21632	Módní návrháři	2/21/216/2163/21632
21620	Zahradní a krajinní architekti	2/21/216/2162/21620
21640	Specialisté v oblasti územního a dopravního plánování	2/21/216/2164/21640
22125	Lékaři v pediatrii	2/22/221/2212/22125
22129	Ostatní lékaři specialisté	2/22/221/2212/22129
22128	Lékaři bez atestace (kromě oborů praktického lékařství)	2/22/221/2212/22128
22126	Lékaři v anesteziologických oborech	2/22/221/2212/22126
22124	Lékaři v psychiatrických oborech	2/22/221/2212/22124
22123	Lékaři v gynekologii a porodnictví	2/22/221/2212/22123
22122	Lékaři v chirurgických oborech	2/22/221/2212/22122
22127	Lékaři v radiologických oborech	2/22/221/2212/22127
22121	Lékaři v interních oborech	2/22/221/2212/22121
22112	Praktičtí lékaři pro děti a dorost	2/22/221/2211/22112
22113	Lékaři bez atestace (v oborech praktického lékařství)	2/22/221/2211/22113
22119	Ostatní praktičtí lékaři	2/22/221/2211/22119
22111	Praktičtí lékaři pro dospělé	2/22/221/2211/22111
22218	Komunitní sestry	2/22/222/2221/22218
22219	Ostatní všeobecné sestry se specializací	2/22/222/2221/22219
22217	Sestry pro péči v psychiatrických oborech	2/22/222/2221/22217
22216	Sestry pro péči v chirurgických oborech	2/22/222/2221/22216
22215	Sestry pro péči v interních oborech	2/22/222/2221/22215
22214	Sestry pro pediatrii	2/22/222/2221/22214
22213	Sestry pro perioperační péči	2/22/222/2221/22213
22212	Sestry pro intenzivní péči (včetně pediatrie a neonatologie)	2/22/222/2221/22212
22211	Staniční sestry (kromě sester v oblasti porodní asistence)	2/22/222/2221/22211
22222	Porodní asistentky pro intenzivní péči	2/22/222/2222/22222
22223	Porodní asistentky pro perioperační péči	2/22/222/2222/22223
22224	Porodní asistentky pro komunitní péči	2/22/222/2222/22224
22229	Ostatní porodní asistentky se specializací	2/22/222/2222/22229
22221	Staniční sestry v oblasti porodní asistence	2/22/222/2222/22221
22300	Specialisté v oblasti tradiční a alternativní medicíny	2/22/223/2230/22300
22400	Nelékařští praktici	2/22/224/2240/22400
22500	Veterinární lékaři	2/22/225/2250/22500
22630	Specialisté v oblasti ochrany veřejného zdraví	2/22/226/2263/22630
22691	Ergoterapeuti se specializací	2/22/226/2269/22691
22692	Adiktologové	2/22/226/2269/22692
22693	Behaviorální analytici	2/22/226/2269/22693
22699	Ostatní specialisté v oblasti zdravotnictví jinde neuvedení	2/22/226/2269/22699
22672	Ortoptisté	2/22/226/2267/22672
22671	Optometristé	2/22/226/2267/22671
22673	Zrakoví terapeuti	2/22/226/2267/22673
22679	Ostatní specialisté v oblasti oční optiky a optometrie	2/22/226/2267/22679
22661	Kliničtí logopedi	2/22/226/2266/22661
22662	Logopedi (kromě klinických logopedů)	2/22/226/2266/22662
22663	Audiologové (kromě lékařských audiologů)	2/22/226/2266/22663
22669	Ostatní specialisté v oblasti audiologie a řečové terapie	2/22/226/2266/22669
22642	Odborní fyzioterapeuti pro vnitřní lékařství	2/22/226/2264/22642
22649	Ostatní fyzioterapeuti specialisté	2/22/226/2264/22649
22643	Odborní fyzioterapeuti pro chirurgické obory a traumatologii	2/22/226/2264/22643
22641	Odborní fyzioterapeuti pro neurologii	2/22/226/2264/22641
22644	Odborní fyzioterapeuti pro neonatologii a pediatrii	2/22/226/2264/22644
22621	Farmaceuti bez specializace	2/22/226/2262/22621
22622	Farmaceuti se specializací pro veřejné lékárenství	2/22/226/2262/22622
22623	Farmaceuti se specializací pro nemocniční lékárenství	2/22/226/2262/22623
22629	Ostatní farmaceuti se specializací	2/22/226/2262/22629
22614	Orální a maxilofaciální chirurgové	2/22/226/2261/22614
22619	Ostatní zubní lékaři se specializací	2/22/226/2261/22619
22611	Zubní lékaři bez specializace	2/22/226/2261/22611
22613	Ortodontisté	2/22/226/2261/22613
22612	Kliničtí stomatologové	2/22/226/2261/22612
22650	Specialisté v oblasti dietetiky a výživy	2/22/226/2265/22650
23105	Asistenti na vysokých školách	2/23/231/2310/23105
23106	Lektoři na vysokých školách	2/23/231/2310/23106
23104	Odborní asistenti na vysokých školách	2/23/231/2310/23104
23103	Docenti na vysokých školách	2/23/231/2310/23103
23102	Profesoři na vysokých školách	2/23/231/2310/23102
23101	Vědečtí, výzkumní a vývojoví pracovníci na vysokých školách	2/23/231/2310/23101
23107	Učitelé na vyšších odborných školách	2/23/231/2310/23107
23201	Učitelé odborných předmětů (kromě pro žáky se speciálními vzdělávacími potřebami)	2/23/232/2320/23201
23202	Učitelé praktického vyučování (kromě pro žáky se speciálními vzdělávacími potřebami)	2/23/232/2320/23202
23203	Učitelé odborného výcviku (kromě pro žáky se speciálními vzdělávacími potřebami)	2/23/232/2320/23203
23204	Lektoři dalšího vzdělávání	2/23/232/2320/23204
23301	Učitelé všeobecně vzdělávacích předmětů na středních školách	2/23/233/2330/23301
23302	Učitelé na konzervatořích	2/23/233/2330/23302
23303	Učitelé na 2. stupni základních škol	2/23/233/2330/23303
23412	Učitelé v přípravných třídách základních škol	2/23/234/2341/23412
23411	Učitelé na 1. stupni základních škol (kromě v přípravných třídách základních škol)	2/23/234/2341/23411
23420	Učitelé v oblasti předškolní výchovy	2/23/234/2342/23420
23550	Lektoři a učitelé umění na ostatních školách	2/23/235/2355/23550
23560	Lektoři a učitelé informačních technologií na ostatních školách	2/23/235/2356/23560
23599	Ostatní specialisté a odborní pracovníci v oblasti výchovy a vzdělávání jinde neuvedení	2/23/235/2359/23599
23592	Pedagogové v oblasti dalšího vzdělávání pedagogických pracovníků	2/23/235/2359/23592
23593	Vychovatelé (kromě vychovatelů pro osoby se speciálními vzdělávacími potřebami)	2/23/235/2359/23593
23591	Speciální pedagogové	2/23/235/2359/23591
23594	Pedagogové volného času	2/23/235/2359/23594
23530	Lektoři a učitelé jazyků na ostatních školách	2/23/235/2353/23530
23524	Učitelé na vyšších odborných školách pro žáky se speciálními vzdělávacími potřebami	2/23/235/2352/23524
23529	Ostatní učitelé a vychovatelé pro osoby se speciálními vzdělávacími potřebami	2/23/235/2352/23529
23527	Vychovatelé pro dospělé se speciálními vzdělávacími potřebami	2/23/235/2352/23527
23525	Učitelé pro dospělé se speciálními vzdělávacími potřebami	2/23/235/2352/23525
23523	Učitelé na středních školách a konzervatořích pro žáky se speciálními vzdělávacími potřebami	2/23/235/2352/23523
23522	Učitelé na základních školách pro děti se speciálními vzdělávacími potřebami	2/23/235/2352/23522
23521	Učitelé v mateřských školách pro děti se speciálními vzdělávacími potřebami	2/23/235/2352/23521
23526	Vychovatelé pro děti se speciálními vzdělávacími potřebami	2/23/235/2352/23526
23512	Školní inspektoři	2/23/235/2351/23512
23513	Specialisté pro tvorbu vzdělávacích programů	2/23/235/2351/23513
23514	Specialisté pro tvorbu učebních pomůcek	2/23/235/2351/23514
23515	Specialisté, metodičtí poradci pro výuku cizích jazyků	2/23/235/2351/23515
23519	Ostatní specialisté zaměření na metody výuky	2/23/235/2351/23519
23511	Specialisté metod výchovy a vzdělávání	2/23/235/2351/23511
23540	Lektoři a učitelé hudby na ostatních školách	2/23/235/2354/23540
24129	Ostatní specialisté v oblasti finančního a investičního poradenství	2/24/241/2412/24129
24125	Pojišťovací poradci specialisté	2/24/241/2412/24125
24124	Bankovní makléři	2/24/241/2412/24124
24123	Burzovní makléři	2/24/241/2412/24123
24121	Finanční poradci specialisté	2/24/241/2412/24121
24122	Investiční poradci specialisté	2/24/241/2412/24122
24135	Specialisté řízení úvěrů	2/24/241/2413/24135
24136	Finanční analytici	2/24/241/2413/24136
24139	Ostatní specialisté v peněžnictví a pojišťovnictví	2/24/241/2413/24139
24131	Metodici a analytici finančního trhu	2/24/241/2413/24131
24133	Specialisté likvidace pojistných událostí	2/24/241/2413/24133
24132	Specialisté vzniku pojištění a zajištění	2/24/241/2413/24132
24134	Specialisté tvorby bankovních produktů	2/24/241/2413/24134
24119	Ostatní specialisté v oblasti účetnictví	2/24/241/2411/24119
24111	Hlavní účetní	2/24/241/2411/24111
24112	Účetní auditoři	2/24/241/2411/24112
24113	Specialisté kalkulací, cen a nákladů	2/24/241/2411/24113
24114	Metodici účetnictví	2/24/241/2411/24114
24115	Rozpočtáři specialisté	2/24/241/2411/24115
24116	Daňoví specialisté a daňoví poradci	2/24/241/2411/24116
24227	Specialisté v oblasti správy školství, kultury a zdravotnictví	2/24/242/2422/24227
24228	Specialisté v oblasti vnitřních věcí státu a regionálního rozvoje	2/24/242/2422/24228
24226	Specialisté v oblasti zahraničních vztahů a služeb	2/24/242/2422/24226
24225	Specialisté v oblasti hospodaření s majetkem státu a organizací	2/24/242/2422/24225
24224	Specialisté podpory podnikání, správci projektů	2/24/242/2422/24224
24223	Specialisté v oblasti strategie	2/24/242/2422/24223
24222	Specialisté analytici, metodici v oblasti politiky firem a veřejné správy	2/24/242/2422/24222
24221	Specialisté v oblasti řízení rizik	2/24/242/2422/24221
24229	Ostatní specialisté v oblasti politiky organizací	2/24/242/2422/24229
24230	Specialisté v oblasti personálního řízení	2/24/242/2423/24230
24210	Specialisté v oblasti organizace a řízení práce	2/24/242/2421/24210
24240	Specialisté v oblasti vzdělávání a rozvoje lidských zdrojů	2/24/242/2424/24240
24311	Specialisté v oblasti marketingu	2/24/243/2431/24311
24312	Specialisté v oblasti propagace a reklamy	2/24/243/2431/24312
24313	Specialisté průzkumu trhu	2/24/243/2431/24313
24320	Specialisté pro styk s veřejností	2/24/243/2432/24320
24336	Specialisté v oblasti prodeje a nákupu textilních a kožedělných produktů	2/24/243/2433/24336
24337	Specialisté v oblasti prodeje a nákupu služeb	2/24/243/2433/24337
24339	Specialisté v oblasti prodeje a nákupu ostatních produktů (kromě informačních a komunikačních technologií)	2/24/243/2433/24339
24334	Specialisté v oblasti prodeje a nákupu potravinářských a chemických produktů	2/24/243/2433/24334
24331	Specialisté v oblasti prodeje a nákupu strojů, přístrojů a zařízení (kromě informačních a komunikačních technologií)	2/24/243/2433/24331
24333	Specialisté v oblasti prodeje a nákupu farmaceutických produktů	2/24/243/2433/24333
24332	Specialisté v oblasti prodeje a nákupu energií, přírodních surovin a stavebnin	2/24/243/2433/24332
24335	Specialisté v oblasti prodeje a nákupu gumárenských, plastikářských, sklářských a keramických produktů	2/24/243/2433/24335
24340	Specialisté v oblasti prodeje a nákupu informačních a komunikačních technologií	2/24/243/2434/24340
25110	Systémoví analytici	2/25/251/2511/25110
25190	Specialisté v oblasti testování softwaru a příbuzní pracovníci	2/25/251/2519/25190
25140	Programátoři počítačových aplikací specialisté	2/25/251/2514/25140
25120	Vývojáři softwaru	2/25/251/2512/25120
25130	Vývojáři webu a multimédií	2/25/251/2513/25130
25210	Návrháři a správci databází	2/25/252/2521/25210
25220	Systémoví administrátoři, správci počítačových sítí	2/25/252/2522/25220
25230	Specialisté v oblasti počítačových sítí (kromě správců)	2/25/252/2523/25230
25290	Specialisté v oblasti bezpečnosti dat a příbuzní pracovníci	2/25/252/2529/25290
26114	Právní čekatelé státního zastupitelství	2/26/261/2611/26114
26119	Ostatní specialisté příbuzní advokátům a státním zástupcům	2/26/261/2611/26119
26113	Advokátní koncipienti	2/26/261/2611/26113
26111	Advokáti	2/26/261/2611/26111
26112	Státní zástupci	2/26/261/2611/26112
26121	Soudci	2/26/261/2612/26121
26122	Vyšší soudní úředníci	2/26/261/2612/26122
26123	Asistenti soudců	2/26/261/2612/26123
26124	Justiční čekatelé	2/26/261/2612/26124
26129	Ostatní pracovníci příbuzní soudcům	2/26/261/2612/26129
26195	Podnikoví právníci	2/26/261/2619/26195
26199	Ostatní specialisté v oblasti práva a příbuzných oblastech jinde neuvedení	2/26/261/2619/26199
26196	Právníci legislativci	2/26/261/2619/26196
26193	Exekutorští koncipienti a kandidáti	2/26/261/2619/26193
26191	Exekutoři	2/26/261/2619/26191
26194	Notářští koncipienti a kandidáti	2/26/261/2619/26194
26192	Notáři	2/26/261/2619/26192
26211	Specialisté archiváři	2/26/262/2621/26211
26212	Specialisté kurátoři	2/26/262/2621/26212
26213	Správci památkových objektů, kasteláni	2/26/262/2621/26213
26220	Specialisté v knihovnách a v příbuzných oblastech	2/26/262/2622/26220
26351	Sociální pracovníci specialisté a další specialisté v sociální oblasti ve veřejné správě	2/26/263/2635/26351
26352	Sociální pracovníci specialisté v oblasti zdravotnictví (kromě péče o zdravotně postižené)	2/26/263/2635/26352
26353	Sociální pracovníci specialisté v oblasti péče o zdravotně postižené	2/26/263/2635/26353
26354	Sociální pracovníci specialisté v oblasti péče o seniory (kromě péče o zdravotně postižené)	2/26/263/2635/26354
26355	Sociální pracovníci specialisté v oblasti péče o děti a mládež (kromě péče o zdravotně postižené)	2/26/263/2635/26355
26356	Sociální pracovníci specialisté v azylových domech, probačních střediscích, nápravných a jiných zařízeních	2/26/263/2635/26356
26357	Sociální pracovníci specialisté v oblasti poradenství (včetně pedagogicko-psychologických poraden)	2/26/263/2635/26357
26359	Ostatní specialisté v sociální oblasti	2/26/263/2635/26359
26360	Specialisté v církevní oblasti a v příbuzných oblastech	2/26/263/2636/26360
26330	Filozofové, historici a politologové	2/26/263/2633/26330
26311	Specialisté v oblasti národohospodářství	2/26/263/2631/26311
26312	Specialisté v oblasti podnikové ekonomie	2/26/263/2631/26312
26321	Výzkumní a vývojoví pracovníci v oboru sociologie, antropologie a v příbuzných oborech	2/26/263/2632/26321
26329	Ostatní specialisté v oborech příbuzných sociologii a antropologii	2/26/263/2632/26329
26326	Antropologové	2/26/263/2632/26326
26325	Etnologové	2/26/263/2632/26325
26324	Geografové	2/26/263/2632/26324
26322	Sociologové	2/26/263/2632/26322
26323	Archeologové	2/26/263/2632/26323
26345	Osobní, rodinní a sociální psychologové	2/26/263/2634/26345
26341	Kliničtí psychologové	2/26/263/2634/26341
26349	Ostatní psychologové	2/26/263/2634/26349
26342	Psychologové ve zdravotnictví (kromě klinických psychologů)	2/26/263/2634/26342
26344	Sportovní psychologové	2/26/263/2634/26344
26343	Pedagogičtí psychologové	2/26/263/2634/26343
26410	Spisovatelé a příbuzní pracovníci	2/26/264/2641/26410
26422	Redaktoři (kromě technických)	2/26/264/2642/26422
26423	Techničtí redaktoři	2/26/264/2642/26423
26424	Novináři	2/26/264/2642/26424
26429	Ostatní specialisté v oblasti žurnalistiky	2/26/264/2642/26429
26421	Šéfredaktoři a editoři	2/26/264/2642/26421
26431	Překladatelé a tlumočníci	2/26/264/2643/26431
26432	Jazykovědci	2/26/264/2643/26432
26532	Tanečníci baletu	2/26/265/2653/26532
26539	Ostatní umělci příbuzní tanečníkům	2/26/265/2653/26539
26533	Tanečníci (kromě baletu)	2/26/265/2653/26533
26531	Taneční a baletní mistři	2/26/265/2653/26531
26534	Choreografové	2/26/265/2653/26534
26590	Výkonní umělci a příbuzní specialisté jinde neuvedení	2/26/265/2659/26590
26561	Televizní moderátoři	2/26/265/2656/26561
26569	Ostatní moderátoři	2/26/265/2656/26569
26562	Rozhlasoví moderátoři	2/26/265/2656/26562
26541	Režiséři	2/26/265/2654/26541
26542	Dramaturgové	2/26/265/2654/26542
26543	Produkční	2/26/265/2654/26543
26544	Hlavní kameramani	2/26/265/2654/26544
26549	Ostatní specialisté v rozhlasu, televizi, filmu a divadle	2/26/265/2654/26549
26521	Zpěváci sólisté a zpěváci sboristé	2/26/265/2652/26521
26522	Hudební skladatelé	2/26/265/2652/26522
26523	Dirigenti, kapelníci, primáši	2/26/265/2652/26523
26524	Koncertní mistři, sbormistři	2/26/265/2652/26524
26525	Instrumentalisté	2/26/265/2652/26525
26529	Ostatní hudebníci	2/26/265/2652/26529
26512	Umělečtí malíři	2/26/265/2651/26512
26519	Ostatní výtvarní umělci	2/26/265/2651/26519
26511	Sochaři	2/26/265/2651/26511
26513	Umělečtí grafici	2/26/265/2651/26513
26514	Umělečtí konzervátoři, restaurátoři a preparátoři	2/26/265/2651/26514
26550	Herci	2/26/265/2655/26550
31176	Důlní a hutní technici přístrojů, strojů a zařízení a pracovníci v příbuzných oborech	3/31/311/3117/31176
31178	Důlní a hutní revizní technici, báňští inspektoři	3/31/311/3117/31178
31179	Ostatní důlní a hutní technici a pracovníci v příbuzných oborech	3/31/311/3117/31179
31177	Důlní a hutní technici dispečeři a pracovníci v příbuzných oborech	3/31/311/3117/31177
31174	Důlní a hutní technici přípravy a realizace investic, inženýringu a pracovníci v příbuzných oborech	3/31/311/3117/31174
31171	Důlní a hutní technici pro rozvoj, výzkum a vývoj a pracovníci v příbuzných oborech	3/31/311/3117/31171
31173	Důlní a hutní technici technologové, normovači a pracovníci v příbuzných oborech	3/31/311/3117/31173
31172	Důlní a hutní technici projektanti, konstruktéři a pracovníci v příbuzných oborech	3/31/311/3117/31172
31175	Důlní a hutní technici kontroly kvality, laboranti a pracovníci v příbuzných oborech	3/31/311/3117/31175
31111	Technici v oblasti chemie (kromě chemického inženýrství)	3/31/311/3111/31111
31112	Technici v oblasti fyziky	3/31/311/3111/31112
31113	Technici v oblasti geologie	3/31/311/3111/31113
31114	Technici v oblasti geofyziky	3/31/311/3111/31114
31115	Technici v oblasti meteorologie	3/31/311/3111/31115
31116	Technici v oblasti astronomie	3/31/311/3111/31116
31117	Technici v oblasti metrologie	3/31/311/3111/31117
31119	Technici v ostatních chemických a fyzikálních vědách (kromě chemického inženýrství)	3/31/311/3111/31119
31194	Technici přípravy a realizace investic, inženýringu v ostatních průmyslových oborech	3/31/311/3119/31194
31199	Technici v ostatních průmyslových oborech jinde neuvedení	3/31/311/3119/31199
31198	Technici bezpečnosti práce a ochrany zdraví, racionalizace výroby, ergonomických studií	3/31/311/3119/31198
31197	Technici dispečeři v ostatních průmyslových oborech	3/31/311/3119/31197
31195	Technici kontroly kvality, laboranti v ostatních průmyslových oborech	3/31/311/3119/31195
31193	Technici technologové, normovači v ostatních průmyslových oborech	3/31/311/3119/31193
31192	Technici projektanti, konstruktéři v ostatních průmyslových oborech	3/31/311/3119/31192
31191	Technici ve výzkumu a vývoji v ostatních průmyslových oborech	3/31/311/3119/31191
31196	Technici přístrojů, strojů a zařízení v ostatních průmyslových oborech	3/31/311/3119/31196
31182	Technici zeměměřiči	3/31/311/3118/31182
31183	Technici geografové	3/31/311/3118/31183
31189	Ostatní odborní pracovníci v oborech příbuzných kartografii a zeměměřictví	3/31/311/3118/31189
31181	Technici kartografové	3/31/311/3118/31181
31164	Chemičtí technici přípravy a realizace investic, inženýringu a pracovníci v příbuzných oborech	3/31/311/3116/31164
31169	Ostatní technici v chemickém inženýrství a příbuzných oborech	3/31/311/3116/31169
31167	Technici dispečeři chemické výroby a pracovníci v příbuzných oborech	3/31/311/3116/31167
31165	Chemičtí technici kontroly kvality, laboranti a pracovníci v příbuzných oborech	3/31/311/3116/31165
31163	Chemičtí technici technologové, normovači a pracovníci v příbuzných oborech	3/31/311/3116/31163
31162	Chemičtí technici projektanti, konstruktéři a pracovníci v příbuzných oborech	3/31/311/3116/31162
31161	Chemičtí technici pro technický rozvoj, výzkum a vývoj a pracovníci v příbuzných oborech	3/31/311/3116/31161
31166	Chemičtí technici přístrojů, strojů a zařízení a pracovníci v příbuzných oborech	3/31/311/3116/31166
31157	Technici dispečeři strojírenské výroby	3/31/311/3115/31157
31159	Ostatní strojírenští technici	3/31/311/3115/31159
31158	Revizní technici ve strojírenství, technici STK	3/31/311/3115/31158
31152	Strojírenští technici projektanti, konstruktéři	3/31/311/3115/31152
31155	Strojírenští technici kontroly kvality, laboranti	3/31/311/3115/31155
31153	Strojírenští technici technologové, normovači	3/31/311/3115/31153
31151	Strojírenští technici ve výzkumu a vývoji	3/31/311/3115/31151
31156	Strojírenští technici přístrojů, strojů a zařízení	3/31/311/3115/31156
31154	Strojírenští technici přípravy a realizace investic, inženýringu	3/31/311/3115/31154
31145	Technici elektronici kontroly kvality, laboranti	3/31/311/3114/31145
31149	Ostatní technici elektronici	3/31/311/3114/31149
31148	Revizní technici v elektronice	3/31/311/3114/31148
31146	Technici elektronici přístrojů, strojů a zařízení	3/31/311/3114/31146
31144	Technici elektronici přípravy a realizace investic, inženýringu	3/31/311/3114/31144
31143	Technici elektronici technologové, normovači	3/31/311/3114/31143
31142	Technici elektronici projektanti, konstruktéři	3/31/311/3114/31142
31141	Technici elektronici ve výzkumu a vývoji	3/31/311/3114/31141
31147	Technici dispečeři v elektronice	3/31/311/3114/31147
31122	Stavební technici projektanti, konstruktéři	3/31/311/3112/31122
31129	Ostatní stavební technici	3/31/311/3112/31129
31128	Technici požární ochrany, revizní technici staveb	3/31/311/3112/31128
31127	Dispečeři stavební výroby	3/31/311/3112/31127
31126	Stavební technici provozní	3/31/311/3112/31126
31125	Stavební technici kontroly kvality, laboranti	3/31/311/3112/31125
31123	Stavební technici technologové, normovači	3/31/311/3112/31123
31121	Stavební technici pro technický rozvoj, výzkum a vývoj	3/31/311/3112/31121
31124	Stavební technici přípravy a realizace investic, inženýringu	3/31/311/3112/31124
31137	Technici dispečeři v elektrotechnice a energetice	3/31/311/3113/31137
31139	Ostatní elektrotechnici a technici energetici	3/31/311/3113/31139
31132	Elektrotechnici a technici energetici projektanti, konstruktéři	3/31/311/3113/31132
31138	Revizní technici v elektrotechnice a energetice	3/31/311/3113/31138
31135	Elektrotechnici a technici energetici kontroly kvality, laboranti	3/31/311/3113/31135
31133	Elektrotechnici a technici energetici technologové, normovači	3/31/311/3113/31133
31131	Elektrotechnici a technici energetici ve výzkumu a vývoji	3/31/311/3113/31131
31134	Elektrotechnici a technici energetici přípravy a realizace investic, inženýringu	3/31/311/3113/31134
31136	Elektrotechnici a technici energetici přístrojů, strojů a zařízení	3/31/311/3113/31136
31211	Mistři a příbuzní pracovníci v oblasti těžby	3/31/312/3121/31211
31212	Mistři a příbuzní pracovníci v oblasti hutní výroby	3/31/312/3121/31212
31213	Mistři a příbuzní pracovníci v oblasti slévárenství	3/31/312/3121/31213
